npi,ccn,first_observed_date,last_observed_date,facility_type
1003551557,045216,2023-07-06,2024-04-01,snf
1003552480,215315,2022-11-30,2024-04-01,snf
1003555798,045469,2023-07-06,2023-12-01,snf
1003555897,045269,2023-07-06,2024-04-01,snf
1003563438,745007,2023-03-31,2024-04-01,snf
1003568171,675365,2022-11-30,2024-04-01,snf
1003569385,105924,2022-11-30,2024-04-01,snf
1003576273,495417,2022-11-30,2024-04-01,snf
1003801093,145532,2022-11-30,2024-04-01,snf
1003802596,235164,2022-11-30,2024-04-01,snf
1003803271,335504,2022-11-30,2024-04-01,snf
1003803818,435094,2022-11-30,2024-04-01,snf
1003804188,345525,2022-11-30,2024-04-01,snf
1003804634,395907,2022-11-30,2024-04-01,snf
1003807280,165524,2022-11-30,2024-04-01,snf
1003807421,175263,2022-11-30,2024-04-01,snf
1003807942,285213,2022-11-30,2024-04-01,snf
1003809526,395118,2022-11-30,2024-04-01,snf
1003810524,395446,2022-11-30,2024-04-01,snf
1003811456,165443,2022-11-30,2024-04-01,snf
1003811571,245393,2022-11-30,2024-04-01,snf
1003812181,235582,2022-11-30,2024-04-01,snf
1003812330,335721,2022-11-30,2024-04-01,snf
1003813148,366290,2022-11-30,2024-04-01,snf
1003813569,525596,2022-11-30,2024-04-01,snf
1003815796,375439,2022-11-30,2024-04-01,snf
1003817248,265770,2022-11-30,2024-04-01,snf
1003817388,165203,2022-11-30,2023-03-31,snf
1003818428,165325,2022-11-30,2024-04-01,snf
1003819491,525611,2022-11-30,2024-04-01,snf
1003819616,525521,2022-11-30,2024-04-01,snf
1003823626,415008,2022-11-30,2024-04-01,snf
1003825761,065368,2022-11-30,2024-04-01,snf
1003838194,155262,2022-11-30,2024-04-01,snf
1003844788,145637,2022-11-30,2024-04-01,snf
1003846205,185462,2022-11-30,2024-04-01,snf
1003847211,245247,2022-11-30,2024-04-01,snf
1003848060,265253,2022-11-30,2024-04-01,snf
1003849506,365823,2022-11-30,2024-04-01,snf
1003852666,055488,2022-11-30,2024-04-01,snf
1003853557,155443,2022-11-30,2024-04-01,snf
1003853979,555337,2022-11-30,2024-04-01,snf
1003854944,165034,2022-11-30,2023-10-02,snf
1003860388,676424,2022-11-30,2024-04-01,snf
1003861436,285269,2022-11-30,2024-04-01,snf
1003865635,065382,2022-11-30,2024-04-01,snf
1003869983,345143,2022-11-30,2024-04-01,snf
1003875048,335603002,2022-11-30,2024-04-01,snf
1003879800,505404,2022-11-30,2024-04-01,snf
1003884594,366350,2022-11-30,2024-04-01,snf
1003887415,395713,2022-11-30,2024-04-01,snf
1003891516,055116,2022-11-30,2024-04-01,snf
1003892662,495262,2022-11-30,2024-04-01,snf
1003893447,245560,2022-11-30,2024-04-01,snf
1003895905,415012,2022-11-30,2024-04-01,snf
1003897125,425114,2022-11-30,2024-04-01,snf
1003897158,195414,2022-11-30,2024-04-01,snf
1003898636,315393,2022-11-30,2024-04-01,snf
1003899402,245521,2022-11-30,2024-04-01,snf
1003901802,045413,2022-11-30,2024-04-01,snf
1003902396,355074,2022-11-30,2024-04-01,snf
1003903022,115266,2022-11-30,2024-04-01,snf
1003903162,065223,2022-11-30,2024-04-01,snf
1003923566,395474,2022-11-30,2023-11-01,snf
1003923566,395502,2022-11-30,2024-04-01,snf
1003923566,395996,2022-11-30,2024-04-01,snf
1003924721,145341,2022-11-30,2024-04-01,snf
1003928482,185150,2022-11-30,2024-04-01,snf
1003932666,155469,2022-11-30,2024-04-01,snf
1003933607,265849,2022-11-30,2024-04-01,snf
1003939786,366354,2022-11-30,2024-04-01,snf
1003947177,075214,2022-11-30,2024-04-01,snf
1003952300,185029,2022-11-30,2024-04-01,snf
1003958356,555126,2022-11-30,2024-04-01,snf
1003974023,366314,2022-11-30,2024-04-01,snf
1003980160,366218,2022-11-30,2024-04-01,snf
1003988049,525337,2022-11-30,2024-04-01,snf
1003988619,335358,2022-11-30,2024-04-01,snf
1003998790,525645,2022-11-30,2024-04-01,snf
1013003854,315129,2022-11-30,2024-04-01,snf
1013004209,325117,2022-11-30,2023-09-01,snf
1013009745,035234,2022-11-30,2024-04-01,snf
1013012319,225759,2022-11-30,2024-04-01,snf
1013013275,235555,2022-11-30,2024-04-01,snf
1013013846,175467,2022-11-30,2024-04-01,snf
1013014141,195278,2022-11-30,2024-04-01,snf
1013016864,375415,2022-11-30,2023-06-01,snf
1013018399,265795,2022-11-30,2024-04-01,snf
1013022268,495071,2022-11-30,2024-04-01,snf
1013025386,165177,2022-11-30,2024-04-01,snf
1013029420,185366,2022-11-30,2024-04-01,snf
1013040112,245613,2022-11-30,2024-04-01,snf
1013094077,075352,2022-11-30,2024-04-01,snf
1013108307,445209,2022-11-30,2024-04-01,snf
1013108380,105626,2022-11-30,2023-12-01,snf
1013109479,255243,2022-11-30,2024-04-01,snf
1013115674,015160,2022-11-30,2024-04-01,snf
1013132117,295026,2022-11-30,2024-04-01,snf
1013166388,195601,2022-11-30,2024-04-01,snf
1013184647,245257,2022-11-30,2024-04-01,snf
1013184696,015450,2022-11-30,2024-04-01,snf
1013193903,155468,2022-11-30,2024-04-01,snf
1013200914,165605,2022-11-30,2024-04-01,snf
1013207372,335226,2022-11-30,2024-04-01,snf
1013217942,225488,2022-11-30,2024-04-01,snf
1013222488,676274,2022-11-30,2024-04-01,snf
1013231794,425400,2022-11-30,2024-04-01,snf
1013232800,375540,2022-11-30,2024-04-01,snf
1013244763,395045,2022-11-30,2024-04-01,snf
1013250448,315396,2022-11-30,2023-06-01,snf
1013265446,676339,2022-11-30,2024-04-01,snf
1013280759,335391,2022-11-30,2024-04-01,snf
1013281161,445510,2022-11-30,2024-04-01,snf
1013305127,265651,2022-11-30,2024-04-01,snf
1013309830,175459,2022-11-30,2024-04-01,snf
1013310861,675712,2022-11-30,2024-04-01,snf
1013312248,675019,2022-11-30,2024-04-01,snf
1013313865,445521,2022-11-30,2024-04-01,snf
1013321884,115391,2022-11-30,2024-04-01,snf
1013327543,555838,2022-11-30,2024-04-01,snf
1013332337,366418,2022-11-30,2024-02-01,snf
1013347780,245626,2022-11-30,2024-04-01,snf
1013358563,155272,2022-11-30,2024-04-01,snf
1013364678,285296,2022-11-30,2024-04-01,snf
1013382225,235719,2022-11-30,2024-04-01,snf
1013386614,525335,2022-11-30,2024-04-01,snf
1013396258,205101,2022-11-30,2024-04-01,snf
1013397090,235414,2022-11-30,2024-04-01,snf
1013401132,015010,2022-11-30,2024-04-01,snf
1013403195,146136,2022-11-30,2024-04-01,snf
1013417328,395259,2022-11-30,2024-04-01,snf
1013424506,335739,2022-11-30,2024-04-01,snf
1013427780,265866,2022-11-30,2024-04-01,snf
1013434703,285299,2022-11-30,2024-04-01,snf
1013443498,335306,2022-11-30,2024-04-01,snf
1013450881,175444,2022-11-30,2024-04-01,snf
1013452481,465064,2022-11-30,2024-04-01,snf
1013455856,245298,2022-11-30,2024-04-01,snf
1013456490,146175,2022-11-30,2024-04-01,snf
1013459965,535051,2022-11-30,2024-03-01,snf
1013463405,015145,2022-11-30,2024-04-01,snf
1013475722,225453,2022-11-30,2024-02-01,snf
1013476613,265719,2022-11-30,2024-01-05,snf
1013478411,495306,2022-11-30,2024-04-01,snf
1013482314,366359,2022-11-30,2024-04-01,snf
1013489459,315047,2022-11-30,2024-04-01,snf
1013490986,045378,2022-11-30,2024-04-01,snf
1013491570,185096,2022-11-30,2024-04-01,snf
1013492743,445280,2022-11-30,2024-01-05,snf
1013494889,165626,2022-11-30,2024-04-01,snf
1013502251,225567,2022-11-30,2024-04-01,snf
1013519834,675977,2022-11-30,2024-04-01,snf
1013524651,395379,2022-11-30,2023-10-02,snf
1013525567,675229,2022-11-30,2024-04-01,snf
1013534536,275156,2022-11-30,2024-04-01,snf
1013541812,365920,2022-11-30,2024-04-01,snf
1013546118,676489,2022-11-30,2024-04-01,snf
1013561505,676476,2022-11-30,2023-09-01,snf
1013571074,145770,2022-11-30,2024-04-01,snf
1013576297,445297,2022-11-30,2024-04-01,snf
1013583483,075219,2022-11-30,2024-04-01,snf
1013592450,056100,2024-01-05,2024-04-01,snf
1013593888,215165,2022-11-30,2024-04-01,snf
1013615681,215085,2024-04-01,2024-04-01,snf
1013628221,115354,2023-06-01,2024-04-01,snf
1013628759,675028,2023-11-01,2024-04-01,snf
1013635325,225474,2023-03-10,2024-04-01,snf
1013641562,055697,2024-04-01,2024-04-01,snf
1013643188,315187,2023-07-06,2024-04-01,snf
1013643311,215216,2022-12-30,2024-04-01,snf
1013644087,225589,2022-12-30,2024-04-01,snf
1013651272,445504,2022-12-30,2024-04-01,snf
1013652247,165516,2023-05-01,2023-08-01,snf
1013656156,345312,2022-11-30,2024-04-01,snf
1013661982,495338,2023-02-01,2024-04-01,snf
1013665116,495199,2023-05-01,2024-04-01,snf
1013666551,106003,2024-04-01,2024-04-01,snf
1013679596,265471,2022-11-30,2024-04-01,snf
1013684927,365425,2022-11-30,2024-04-01,snf
1013689637,235632,2022-11-30,2024-04-01,snf
1013901982,335394002,2022-11-30,2024-04-01,snf
1013902139,265200,2022-11-30,2024-04-01,snf
1013902253,395498,2022-11-30,2024-04-01,snf
1013902881,225448,2022-11-30,2024-04-01,snf
1013903343,265433,2022-11-30,2024-04-01,snf
1013903376,415041,2022-11-30,2024-04-01,snf
1013903525,265711,2022-11-30,2024-04-01,snf
1013903608,015200,2022-11-30,2024-04-01,snf
1013903657,335433,2022-11-30,2024-04-01,snf
1013904085,525290,2022-11-30,2024-04-01,snf
1013904226,365768,2022-11-30,2024-04-01,snf
1013904234,105688,2022-11-30,2022-12-30,snf
1013904283,335757,2022-11-30,2024-04-01,snf
1013904366,145728,2022-11-30,2024-04-01,snf
1013904432,165442,2022-11-30,2024-04-01,snf
1013904739,145618,2022-11-30,2024-03-01,snf
1013905579,215125,2022-11-30,2024-04-01,snf
1013906866,045343,2022-11-30,2024-04-01,snf
1013907138,145044,2022-11-30,2023-11-01,snf
1013907252,205114,2022-11-30,2024-04-01,snf
1013908698,525519,2022-11-30,2024-04-01,snf
1013910553,165146,2022-11-30,2024-04-01,snf
1013912500,395328,2022-11-30,2024-04-01,snf
1013912922,235333,2022-11-30,2024-04-01,snf
1013914878,335806,2022-11-30,2024-04-01,snf
1013915115,235174,2022-11-30,2024-04-01,snf
1013915339,525088,2022-11-30,2024-04-01,snf
1013915537,065323,2022-11-30,2024-04-01,snf
1013916311,375255,2022-11-30,2024-04-01,snf
1013917053,425085,2022-11-30,2024-04-01,snf
1013921071,395705,2022-11-30,2024-04-01,snf
1013922327,105827,2022-11-30,2024-04-01,snf
1013926443,235374,2022-11-30,2024-04-01,snf
1013926526,335764,2022-11-30,2024-04-01,snf
1013926823,155605,2022-11-30,2024-04-01,snf
1013930031,105507,2022-11-30,2024-04-01,snf
1013940154,265629,2022-11-30,2023-10-02,snf
1013941764,015398,2022-11-30,2024-04-01,snf
1013943133,495385,2022-11-30,2024-04-01,snf
1013946979,155434,2022-11-30,2024-04-01,snf
1013947795,075330,2022-11-30,2024-04-01,snf
1013951896,345313,2022-11-30,2024-04-01,snf
1013952472,065144,2022-11-30,2024-04-01,snf
1013953199,055064,2022-11-30,2024-04-01,snf
1013953611,115308,2022-11-30,2024-04-01,snf
1013954353,106062,2022-11-30,2024-04-01,snf
1013959147,115671,2022-11-30,2024-04-01,snf
1013961952,395451,2022-11-30,2023-08-01,snf
1013962018,045167,2022-11-30,2024-04-01,snf
1013967132,065238,2022-11-30,2024-04-01,snf
1013967231,345482,2022-11-30,2024-04-01,snf
1013976729,165297,2022-11-30,2024-04-01,snf
1013978444,225732,2022-11-30,2024-04-01,snf
1013984871,225500,2022-11-30,2024-04-01,snf
1013987007,165538,2022-11-30,2024-04-01,snf
1013989656,055526,2022-11-30,2024-04-01,snf
1013990100,285209,2022-11-30,2024-04-01,snf
1013992510,056205,2022-11-30,2024-04-01,snf
1023001153,015149,2022-11-30,2024-04-01,snf
1023001799,265574,2022-11-30,2024-04-01,snf
1023002318,145956,2022-11-30,2024-04-01,snf
1023003118,155796,2022-11-30,2024-04-01,snf
1023003167,065150,2022-11-30,2024-04-01,snf
1023004157,145935,2022-11-30,2024-04-01,snf
1023004751,395619,2022-11-30,2024-04-01,snf
1023005105,165587,2022-11-30,2023-10-02,snf
1023005113,375372,2022-11-30,2024-04-01,snf
1023005311,155226,2022-11-30,2024-04-01,snf
1023005519,145453,2022-11-30,2024-04-01,snf
1023005592,265095,2022-11-30,2024-04-01,snf
1023005709,185183,2022-11-30,2024-04-01,snf
1023006814,525667,2022-11-30,2024-04-01,snf
1023006848,145726,2022-11-30,2024-04-01,snf
1023007515,035154,2022-11-30,2024-04-01,snf
1023007770,045301,2022-11-30,2024-04-01,snf
1023009156,315418,2022-11-30,2024-04-01,snf
1023011590,275079,2022-11-30,2024-04-01,snf
1023011798,145547,2022-11-30,2024-04-01,snf
1023013455,155214,2022-11-30,2024-04-01,snf
1023013786,315451,2022-11-30,2023-09-01,snf
1023014503,455748,2022-11-30,2024-04-01,snf
1023015138,395012,2022-11-30,2024-04-01,snf
1023015799,065292,2022-11-30,2024-04-01,snf
1023015948,525550,2022-11-30,2024-04-01,snf
1023016037,395561,2022-11-30,2024-04-01,snf
1023016730,145804,2022-11-30,2024-04-01,snf
1023017951,225270,2022-11-30,2024-04-01,snf
1023018504,395534,2022-11-30,2024-04-01,snf
1023026325,315193,2022-11-30,2023-12-01,snf
1023031465,155581,2022-11-30,2024-04-01,snf
1023040029,265877,2022-11-30,2024-04-01,snf
1023044518,115618,2022-11-30,2024-04-01,snf
1023048295,055806,2022-11-30,2024-04-01,snf
1023052040,135064,2022-11-30,2024-04-01,snf
1023062155,355063,2022-11-30,2024-04-01,snf
1023063856,435096,2022-11-30,2024-04-01,snf
1023065737,015182,2022-11-30,2024-04-01,snf
1023065893,445482,2022-11-30,2024-04-01,snf
1023066966,055222,2022-11-30,2024-03-01,snf
1023068129,195547,2022-11-30,2024-04-01,snf
1023074606,445381,2022-11-30,2024-04-01,snf
1023075355,195275,2022-11-30,2024-04-01,snf
1023079498,075316,2022-11-30,2024-04-01,snf
1023081197,165404,2022-11-30,2024-04-01,snf
1023090453,106035,2022-11-30,2024-04-01,snf
1023090651,475032,2022-11-30,2024-04-01,snf
1023096138,155086,2022-11-30,2024-04-01,snf
1023097698,335455,2022-11-30,2024-04-01,snf
1023099447,445115,2022-11-30,2024-04-01,snf
1023110897,195156,2022-11-30,2024-04-01,snf
1023112497,315199A,2022-11-30,2024-04-01,snf
1023113826,375178,2022-11-30,2024-04-01,snf
1023118114,366334,2022-11-30,2024-04-01,snf
1023143062,425089,2022-11-30,2024-04-01,snf
1023152857,155263,2022-11-30,2024-04-01,snf
1023154929,525286,2022-11-30,2024-04-01,snf
1023168283,396076,2022-11-30,2024-04-01,snf
1023181146,295073,2022-11-30,2024-04-01,snf
1023181666,315495,2022-11-30,2023-03-31,snf
1023182235,255301,2022-11-30,2024-04-01,snf
1023183431,145519,2022-11-30,2024-04-01,snf
1023183662,555819,2022-11-30,2024-04-01,snf
1023187291,075111,2022-11-30,2024-04-01,snf
1023190824,505504,2022-11-30,2024-04-01,snf
1023190881,525421,2022-11-30,2024-04-01,snf
1023194222,05Z308,2022-11-30,2024-04-01,snf
1023194669,285131,2022-11-30,2024-04-01,snf
1023198470,075069,2022-11-30,2023-03-10,snf
1023237500,085012,2022-11-30,2024-04-01,snf
1023283686,235642,2022-11-30,2024-04-01,snf
1023315421,235182,2022-11-30,2024-04-01,snf
1023316023,555122,2022-11-30,2024-04-01,snf
1023337847,366393,2022-11-30,2024-04-01,snf
1023339900,676275,2022-11-30,2024-04-01,snf
1023342789,366416,2022-11-30,2024-04-01,snf
1023358991,345182,2022-11-30,2024-04-01,snf
1023368719,085056,2022-11-30,2024-04-01,snf
1023386190,345252,2022-11-30,2024-04-01,snf
1023387776,106032,2022-11-30,2024-04-01,snf
1023391877,525706,2022-11-30,2024-04-01,snf
1023398336,305079,2022-11-30,2023-08-01,snf
1023407012,675817,2022-11-30,2024-04-01,snf
1023422896,106065,2022-11-30,2023-07-06,snf
1023430741,375563,2022-11-30,2024-04-01,snf
1023440153,015315,2022-11-30,2024-04-01,snf
1023443579,676136,2022-11-30,2024-04-01,snf
1023444056,305096,2022-11-30,2022-11-30,snf
1023447208,175547,2022-11-30,2022-11-30,snf
1023455060,675240,2022-11-30,2023-05-01,snf
1023476595,115040,2022-11-30,2024-04-01,snf
1023480225,465185,2022-11-30,2024-04-01,snf
1023481520,345481,2022-11-30,2024-04-01,snf
1023523404,365756,2022-11-30,2024-04-01,snf
1023526035,145985,2022-11-30,2024-04-01,snf
1023526472,495211,2022-11-30,2024-04-01,snf
1023534443,555595,2022-11-30,2024-04-01,snf
1023535929,225483,2022-11-30,2024-04-01,snf
1023560661,185359,2022-11-30,2024-04-01,snf
1023561024,385156,2022-11-30,2023-09-01,snf
1023561925,385072,2022-11-30,2023-09-01,snf
1023576303,366201,2022-11-30,2024-04-01,snf
1023576774,676100,2022-11-30,2024-04-01,snf
1023576790,075057,2022-11-30,2024-04-01,snf
1023576865,676325,2022-11-30,2024-04-01,snf
1023577582,165627,2022-11-30,2023-12-01,snf
1023588696,225486,2022-11-30,2024-04-01,snf
1023589470,145715,2022-11-30,2024-04-01,snf
1023594280,395782,2022-11-30,2024-04-01,snf
1023602570,315178,2022-11-30,2024-04-01,snf
1023604436,225147A,2022-11-30,2024-04-01,snf
1023611415,495308,2022-11-30,2024-02-01,snf
1023638285,015220,2022-11-30,2024-04-01,snf
1023641024,676416,2022-11-30,2024-04-01,snf
1023643806,065192,2024-03-01,2024-04-01,snf
1023643822,215260,2022-11-30,2023-08-01,snf
1023648045,175130,2022-11-30,2024-04-01,snf
1023648383,375549,2022-11-30,2024-04-01,snf
1023649175,365874,2022-11-30,2024-04-01,snf
1023652542,555673,2022-11-30,2024-04-01,snf
1023665809,225413,2022-11-30,2024-04-01,snf
1023669629,365005,2022-11-30,2024-04-01,snf
1023671765,345155,2022-11-30,2024-04-01,snf
1023673365,145484,2022-11-30,2024-04-01,snf
1023679057,165202,2022-11-30,2024-04-01,snf
1023693181,515065,2022-11-30,2024-04-01,snf
1023702982,035270,2024-04-01,2024-04-01,snf
1023706603,676064,2023-12-01,2024-04-01,snf
1023712254,365340,2024-03-01,2024-04-01,snf
1023719838,175433,2023-11-01,2024-04-01,snf
1023728805,395221,2023-10-02,2024-04-01,snf
1023730702,745038,2023-12-01,2024-04-01,snf
1023739588,125069,2023-03-10,2024-04-01,snf
1023740677,335596,2023-09-01,2024-04-01,snf
1023743028,675638,2023-02-01,2024-04-01,snf
1023748597,145655,2023-03-10,2024-04-01,snf
1023759362,555113,2024-03-01,2024-04-01,snf
1023893237,215095,2024-01-05,2024-04-01,snf
1033100698,366263,2022-11-30,2024-04-01,snf
1033101803,395824,2022-11-30,2024-04-01,snf
1033102165,175507,2022-11-30,2024-04-01,snf
1033102983,525443,2022-11-30,2024-04-01,snf
1033103205,056377,2022-11-30,2024-04-01,snf
1033104856,225154,2022-11-30,2024-04-01,snf
1033106463,335254,2022-11-30,2024-04-01,snf
1033106489,335532,2022-11-30,2024-04-01,snf
1033106596,145450,2022-11-30,2024-04-01,snf
1033106620,165418,2022-11-30,2024-04-01,snf
1033106703,555520,2022-11-30,2024-04-01,snf
1033107248,145685,2022-11-30,2024-04-01,snf
1033107511,265627,2022-11-30,2024-04-01,snf
1033110341,185003,2022-11-30,2024-04-01,snf
1033110770,335842,2022-11-30,2024-04-01,snf
1033112735,175383,2022-11-30,2024-04-01,snf
1033113774,105219B,2022-11-30,2024-04-01,snf
1033114319,676011,2022-11-30,2024-04-01,snf
1033114681,105149,2022-11-30,2023-02-01,snf
1033114707,395380,2022-11-30,2023-02-01,snf
1033115514,395101,2022-11-30,2024-04-01,snf
1033119649,505217,2022-11-30,2023-11-01,snf
1033119722,275094,2022-11-30,2023-05-01,snf
1033123682,115494,2022-11-30,2024-04-01,snf
1033132477,155321,2022-11-30,2024-04-01,snf
1033138995,396113,2022-11-30,2024-04-01,snf
1033140926,195598,2022-11-30,2024-04-01,snf
1033141015,265255,2022-11-30,2024-04-01,snf
1033142153,265744,2022-11-30,2023-10-02,snf
1033143342,105921,2022-11-30,2024-04-01,snf
1033145529,185152,2022-11-30,2024-04-01,snf
1033148820,155417,2022-11-30,2024-04-01,snf
1033149885,065390,2022-11-30,2024-04-01,snf
1033151345,415062,2022-11-30,2023-06-01,snf
1033151519,415074,2022-11-30,2024-04-01,snf
1033153762,675622,2022-11-30,2024-04-01,snf
1033154844,275136,2022-11-30,2024-04-01,snf
1033156401,145012,2022-11-30,2023-10-02,snf
1033156898,445256,2022-11-30,2024-04-01,snf
1033157607,105404,2022-11-30,2024-04-01,snf
1033161492,195610,2022-11-30,2024-04-01,snf
1033164272,225545,2022-11-30,2024-04-01,snf
1033166640,015391,2022-11-30,2024-04-01,snf
1033166871,155606,2022-11-30,2024-04-01,snf
1033167408,675095,2022-11-30,2024-04-01,snf
1033168406,235076,2022-11-30,2024-04-01,snf
1033172663,165181,2022-11-30,2024-02-01,snf
1033173448,075404,2022-11-30,2024-04-01,snf
1033176557,395261,2022-11-30,2024-04-01,snf
1033177308,035117,2022-11-30,2024-04-01,snf
1033178504,015214,2022-11-30,2024-04-01,snf
1033180567,115692,2022-11-30,2024-04-01,snf
1033184437,115106,2022-11-30,2024-04-01,snf
1033189493,165228,2022-11-30,2024-04-01,snf
1033190020,285189,2022-11-30,2024-04-01,snf
1033191127,455802,2022-11-30,2024-04-01,snf
1033196456,195180,2022-11-30,2024-04-01,snf
1033200100,335273,2022-11-30,2024-04-01,snf
1033201611,365493,2022-11-30,2024-04-01,snf
1033206222,425175,2022-11-30,2024-04-01,snf
1033213350,175301,2022-11-30,2024-04-01,snf
1033214150,525693,2022-11-30,2024-04-01,snf
1033215793,255319,2022-11-30,2024-04-01,snf
1033219019,555204,2022-11-30,2024-04-01,snf
1033220199,335148,2022-11-30,2024-04-01,snf
1033225669,155289,2022-11-30,2024-04-01,snf
1033236211,335570,2022-11-30,2024-04-01,snf
1033244090,345151,2022-11-30,2024-04-01,snf
1033247622,056426,2022-11-30,2024-04-01,snf
1033257886,105821,2022-11-30,2024-04-01,snf
1033264973,215361,2022-11-30,2024-04-01,snf
1033267331,075374,2022-11-30,2024-04-01,snf
1033280094,145409,2022-11-30,2024-04-01,snf
1033282215,015183,2022-11-30,2024-04-01,snf
1033285994,145910,2022-11-30,2024-04-01,snf
1033291000,525641,2022-11-30,2024-04-01,snf
1033292511,015053,2022-11-30,2024-04-01,snf
1033293436,055457,2022-11-30,2024-04-01,snf
1033295241,295083,2022-11-30,2024-04-01,snf
1033296397,175115,2022-11-30,2024-04-01,snf
1033300314,185304,2022-11-30,2024-04-01,snf
1033316203,675151,2022-11-30,2024-04-01,snf
1033349147,366378,2022-11-30,2024-04-01,snf
1033357462,465170,2022-11-30,2024-04-01,snf
1033393749,155696,2022-11-30,2024-04-01,snf
1033405170,366396,2022-11-30,2024-04-01,snf
1033410295,366299,2022-11-30,2024-04-01,snf
1033416243,155793,2022-11-30,2024-04-01,snf
1033431374,056186,2022-11-30,2024-04-01,snf
1033437579,555717,2022-11-30,2024-04-01,snf
1033443858,245356,2022-11-30,2024-04-01,snf
1033458435,265251,2022-11-30,2024-04-01,snf
1033475769,505484,2022-11-30,2024-04-01,snf
1033486394,225777,2022-11-30,2024-04-01,snf
1033500251,315171,2022-11-30,2024-04-01,snf
1033507728,075377,2022-11-30,2024-04-01,snf
1033508387,676086,2022-11-30,2024-04-01,snf
1033513320,345378,2022-11-30,2024-04-01,snf
1033517891,365408,2022-11-30,2024-04-01,snf
1033517990,365763,2022-11-30,2024-04-01,snf
1033524186,215128,2022-11-30,2024-04-01,snf
1033531462,155657,2022-11-30,2024-04-01,snf
1033543921,245253,2022-11-30,2024-04-01,snf
1033544655,165611,2022-11-30,2024-04-01,snf
1033544853,365946,2022-11-30,2024-04-01,snf
